ID,month_no,flat_type,storey_range,floor_area_sqm,lease_commence_date,resale_price
186,24193,4,4,107,1985,418800
187,24193,4,10,84,1987,362000
188,24193,4,1,89,1987,330000
189,24193,4,10,103,1985,419000
190,24193,4,4,105,1984,430000
191,24193,4,13,102,1997,448000
192,24193,4,19,103,1997,478888
193,24193,4,13,100,1998,410000
194,24193,4,7,92,1998,380000
195,24193,4,4,103,1998,412000
196,24193,4,4,93,1986,360000
197,24193,4,10,93,1985,350000
198,24193,4,4,89,1988,350000
199,24193,4,7,104,1987,437500
200,24193,4,10,94,1988,355000
201,24193,4,1,94,1988,355000
202,24193,4,4,103,1986,340000
203,24193,4,7,90,2005,445000
204,24193,4,16,92,2004,438000
205,24193,4,1,106,1989,403800
206,24193,4,1,93,1984,371000
207,24193,4,4,93,1985,335000
208,24193,5,4,125,1985,460000
209,24193,5,13,120,1997,550000
210,24193,5,4,120,1997,538000
211,24193,5,1,122,1986,430000
212,24193,5,4,130,1986,458000
213,24193,5,19,139,1985,570000
214,24193,6,13,150,1985,668000
215,24193,6,4,141,1997,660000
216,24193,6,4,147,1995,640000
217,24193,6,4,144,1997,795000
218,24193,6,1,148,1986,620000
219,24193,6,7,148,1987,620000
220,24193,2,7,34,1971,225000
221,24193,3,4,59,1974,315000
222,24193,3,19,65,1973,400000
223,24193,3,4,73,1984,385000
224,24193,3,1,75,1984,330000
225,24193,3,19,65,1975,396000
226,24193,3,4,59,1975,289000
227,24193,3,7,67,1979,350000
228,24193,3,4,58,1969,350000
229,24193,3,1,88,1973,655000
230,24193,3,13,70,1975,350000
231,24193,3,7,59,1975,300000
232,24193,3,10,65,1975,328000
233,24193,3,10,76,1975,350000
234,24193,3,1,67,1978,330000
235,24193,3,4,88,1978,472000
236,24193,3,4,67,1976,300000
237,24193,3,4,67,1976,330000
238,24193,3,4,59,1976,306000
239,24193,3,4,70,1976,355000
240,24193,4,1,91,2005,649000
241,24193,4,7,108,1984,565000
242,24193,4,1,106,1984,508000
243,24193,4,13,75,2002,638000
244,24193,4,22,90,2002,722000
245,24193,4,4,100,2006,539000
246,24193,4,7,74,1970,440000
247,24193,4,4,106,1997,600000
248,24193,4,7,90,2003,605000
249,24193,4,19,90,2008,765000
250,24193,4,16,90,2003,747888
251,24193,4,16,104,1984,605000
252,24193,4,1,90,2001,550000
253,24193,4,16,88,1975,570000
254,24193,4,19,85,2001,685000
255,24193,4,25,100,2005,780000
256,24193,4,13,91,1976,574888
257,24193,5,16,115,2006,695000
258,24193,5,1,116,2000,630000
259,24193,5,10,133,1980,740000
260,24193,5,7,136,1984,735000
261,24193,5,25,110,2002,850000
262,24193,5,13,115,1978,680000
263,24193,3,4,73,1989,290000
264,24193,3,7,73,1988,300000
265,24193,3,1,73,1988,296000
266,24193,3,4,73,1989,272000
267,24193,3,4,73,1988,272000
268,24193,3,1,73,1989,270000
269,24193,3,10,73,1989,275000
270,24193,3,1,73,1988,280000
271,24193,4,4,104,1988,323888
272,24193,4,4,108,1988,315000
273,24193,4,7,84,1988,310888
274,24193,4,16,90,2001,380000
275,24193,4,1,104,1988,307000
276,24193,4,7,101,1997,330000
